number,value,state,params_batch_size,params_dropout,params_embed_dim,params_epochs,params_gat_depth,params_gat_heads,params_gat_hidden_dim,params_lr,params_patch_size,params_stride,params_transformer_heads,params_transformer_layers,params_weight_decay
12,0.994847775175644,COMPLETE,64,0.2,64,200,4,4,32,0.00015871160049527858,11,4,16,10,0.0009538211768148025
32,0.9929742388758782,COMPLETE,64,0.30000000000000004,128,150,2,4,32,0.00022495001065559727,7,7,8,8,0.00040968258308074257
44,0.9925058548009368,COMPLETE,64,0.30000000000000004,128,150,6,4,32,3.9760003770112964e-05,7,3,2,8,8.27399244534167e-05
9,0.9859484777517564,COMPLETE,64,0.4,128,150,8,2,128,0.00012707153726622365,13,6,16,10,7.258247193596506e-08
19,0.9400468384074941,PRUNED,48,0.35000000000000003,256,300,4,10,64,6.21836854713252e-05,13,5,2,10,1.475712957567877e-05
42,0.8608899297423888,PRUNED,16,0.30000000000000004,128,250,8,4,32,2.427344490627194e-05,7,6,16,6,4.757417331368338e-06
29,0.8449648711943794,PRUNED,64,0.2,128,100,8,2,32,0.0005391839940906773,11,6,16,8,1.268142318897356e-08
37,0.8257611241217798,PRUNED,64,0.1,64,200,8,6,128,0.0001513195391517804,11,4,16,4,5.230725056701423e-05
14,0.8098360655737705,PRUNED,32,0.30000000000000004,256,200,10,8,128,1.1695697601982791e-05,13,2,16,10,0.0009764135002955257
22,0.8079625292740047,PRUNED,32,0.35000000000000003,256,50,8,6,64,2.726023194609896e-05,13,3,16,2,0.008545321761501651
